SampleID	Plant	Genotype	Compartment	Description	Soil	Bio_rep	Growth_condition	Library	Experiment
NPK_Lj_symrk_2_rhizo	Lotus	symrk	Rhizosphere	NPK_Lj_symrk_2_rhizo	NPK	2	Lj	first	SYM
NPK_Lj_symrk_2_endo	Lotus	symrk	Endosphere/Rhizoplane	NPK_Lj_symrk_2_endo	NPK	2	Lj	first	SYM
NPK_Lj_symrk_3_rhizo	Lotus	symrk	Rhizosphere	NPK_Lj_symrk_3_rhizo	NPK	3	Lj	first	SYM
NPK_Lj_symrk_3_endo	Lotus	symrk	Endosphere/Rhizoplane	NPK_Lj_symrk_3_endo	NPK	3	Lj	first	SYM
NPK_Lj_symrk_4_rhizo	Lotus	symrk	Rhizosphere	NPK_Lj_symrk_4_rhizo	NPK	4	Lj	first	SYM
NPK_Lj_symrk_4_endo	Lotus	symrk	Endosphere/Rhizoplane	NPK_Lj_symrk_4_endo	NPK	4	Lj	first	SYM
NPK_Lj_symrk_5_rhizo	Lotus	symrk	Rhizosphere	NPK_Lj_symrk_5_rhizo	NPK	5	Lj	first	SYM
NPK_Lj_symrk_5_endo	Lotus	symrk	Endosphere/Rhizoplane	NPK_Lj_symrk_5_endo	NPK	5	Lj	first	SYM
NPK_Lj_symrk_6_rhizo	Lotus	symrk	Rhizosphere	NPK_Lj_symrk_6_rhizo	NPK	6	Lj	first	SYM
NPK_Lj_symrk_6_endo	Lotus	symrk	Endosphere/Rhizoplane	NPK_Lj_symrk_6_endo	NPK	6	Lj	first	SYM
NPK_Lj_ccamk_1_rhizo	Lotus	ccamk	Rhizosphere	NPK_Lj_ccamk_1_rhizo	NPK	1	Lj	first	SYM
NPK_Lj_ccamk_1_endo	Lotus	ccamk	Endosphere/Rhizoplane	NPK_Lj_ccamk_1_endo	NPK	1	Lj	first	SYM
NPK_Lj_ccamk_2_rhizo	Lotus	ccamk	Rhizosphere	NPK_Lj_ccamk_2_rhizo	NPK	2	Lj	first	SYM
NPK_Lj_ccamk_2_endo	Lotus	ccamk	Endosphere/Rhizoplane	NPK_Lj_ccamk_2_endo	NPK	2	Lj	first	SYM
NPK_Lj_ccamk_3_rhizo	Lotus	ccamk	Rhizosphere	NPK_Lj_ccamk_3_rhizo	NPK	3	Lj	first	SYM
NPK_Lj_ccamk_3_endo	Lotus	ccamk	Endosphere/Rhizoplane	NPK_Lj_ccamk_3_endo	NPK	3	Lj	first	SYM
NPK_Lj_ccamk_4_rhizo	Lotus	ccamk	Rhizosphere	NPK_Lj_ccamk_4_rhizo	NPK	4	Lj	first	SYM
NPK_Lj_ccamk_4_endo	Lotus	ccamk	Endosphere/Rhizoplane	NPK_Lj_ccamk_4_endo	NPK	4	Lj	first	SYM
NPK_Lj_ccamk_5_rhizo	Lotus	ccamk	Rhizosphere	NPK_Lj_ccamk_5_rhizo	NPK	5	Lj	first	SYM
NPK_Lj_ccamk_5_endo	Lotus	ccamk	Endosphere/Rhizoplane	NPK_Lj_ccamk_5_endo	NPK	5	Lj	first	SYM
NPK_Lj_ccamk_6_rhizo	Lotus	ccamk	Rhizosphere	NPK_Lj_ccamk_6_rhizo	NPK	6	Lj	first	SYM
NPK_Lj_ccamk_6_endo	Lotus	ccamk	Endosphere/Rhizoplane	NPK_Lj_ccamk_6_endo	NPK	6	Lj	first	SYM
NPK_Lj_nsp1_1_rhizo	Lotus	nsp1	Rhizosphere	NPK_Lj_nsp1_1_rhizo	NPK	1	Lj	first	SYM
NPK_Lj_nsp1_1_endo	Lotus	nsp1	Endosphere/Rhizoplane	NPK_Lj_nsp1_1_endo	NPK	1	Lj	first	SYM
NPK_Lj_nsp1_2_rhizo	Lotus	nsp1	Rhizosphere	NPK_Lj_nsp1_2_rhizo	NPK	2	Lj	first	SYM
NPK_Lj_nsp1_2_endo	Lotus	nsp1	Endosphere/Rhizoplane	NPK_Lj_nsp1_2_endo	NPK	2	Lj	first	SYM
NPK_Lj_nsp1_3_rhizo	Lotus	nsp1	Rhizosphere	NPK_Lj_nsp1_3_rhizo	NPK	3	Lj	first	SYM
NPK_Lj_nsp1_3_endo	Lotus	nsp1	Endosphere/Rhizoplane	NPK_Lj_nsp1_3_endo	NPK	3	Lj	first	SYM
NPK_Lj_nsp1_4_rhizo	Lotus	nsp1	Rhizosphere	NPK_Lj_nsp1_4_rhizo	NPK	4	Lj	first	SYM
NPK_Lj_nsp1_4_endo	Lotus	nsp1	Endosphere/Rhizoplane	NPK_Lj_nsp1_4_endo	NPK	4	Lj	first	SYM
NPK_Lj_nsp1_5_rhizo	Lotus	nsp1	Rhizosphere	NPK_Lj_nsp1_5_rhizo	NPK	5	Lj	first	SYM
NPK_Lj_nsp1_5_endo	Lotus	nsp1	Endosphere/Rhizoplane	NPK_Lj_nsp1_5_endo	NPK	5	Lj	first	SYM
NPK_Lj_nsp1_6_rhizo	Lotus	nsp1	Rhizosphere	NPK_Lj_nsp1_6_rhizo	NPK	6	Lj	first	SYM
NPK_Lj_nsp1_6_endo	Lotus	nsp1	Endosphere/Rhizoplane	NPK_Lj_nsp1_6_endo	NPK	6	Lj	first	SYM
NPK_Lj_nsp2_1_rhizo	Lotus	nsp2	Rhizosphere	NPK_Lj_nsp2_1_rhizo	NPK	1	Lj	first	SYM
NPK_Lj_nsp2_1_endo	Lotus	nsp2	Endosphere/Rhizoplane	NPK_Lj_nsp2_1_endo	NPK	1	Lj	first	SYM
NPK_Lj_nsp_2_rhizo	Lotus	nsp2	Rhizosphere	NPK_Lj_nsp_2_rhizo	NPK	2	Lj	first	SYM
NPK_Lj_nsp2_2_endo	Lotus	nsp2	Endosphere/Rhizoplane	NPK_Lj_nsp2_2_endo	NPK	2	Lj	first	SYM
NPK_Lj_nsp2_3_rhizo	Lotus	nsp2	Rhizosphere	NPK_Lj_nsp2_3_rhizo	NPK	3	Lj	first	SYM
NPK_Lj_nsp2_3_endo	Lotus	nsp2	Endosphere/Rhizoplane	NPK_Lj_nsp2_3_endo	NPK	3	Lj	first	SYM
NPK_Lj_nsp2_4_rhizo	Lotus	nsp2	Rhizosphere	NPK_Lj_nsp2_4_rhizo	NPK	4	Lj	first	SYM
NPK_Lj_nsp2_4_endo	Lotus	nsp2	Endosphere/Rhizoplane	NPK_Lj_nsp2_4_endo	NPK	4	Lj	first	SYM
NPK_Lj_nsp2_5_rhizo	Lotus	nsp2	Rhizosphere	NPK_Lj_nsp2_5_rhizo	NPK	5	Lj	first	SYM
NPK_Lj_nsp2_5_endo	Lotus	nsp2	Endosphere/Rhizoplane	NPK_Lj_nsp2_5_endo	NPK	5	Lj	first	SYM
NPK_Lj_nsp2_6_rhizo	Lotus	nsp2	Rhizosphere	NPK_Lj_nsp2_6_rhizo	NPK	6	Lj	first	SYM
NPK_Lj_nsp2_6_endo	Lotus	nsp2	Endosphere/Rhizoplane	NPK_Lj_nsp2_6_endo	NPK	6	Lj	first	SYM
NPK_Lj_unplanted_1	Soil	Soil	Bulk soil	NPK_Lj_unplanted_1	NPK	1	Lj	first	SYM
NPK_Lj_unplanted_2	Soil	Soil	Bulk soil	NPK_Lj_unplanted_2	NPK	2	Lj	first	SYM
NPK_Lj_unplanted_3	Soil	Soil	Bulk soil	NPK_Lj_unplanted_3	NPK	3	Lj	first	SYM
PK_Lj_WT_1_rhizo	Lotus	WT	Rhizosphere	PK_Lj_WT_1_rhizo	PK	1	Lj	first	SYM
PK_Lj_WT_1_endo	Lotus	WT	Endosphere/Rhizoplane	PK_Lj_WT_1_endo	PK	1	Lj	first	SYM
PK_Lj_WT_1_nod	Lotus	WT	Nodules	PK_Lj_WT_1_nod	PK	1	Lj	first	SYM
PK_Lj_WT_2_rhizo	Lotus	WT	Rhizosphere	PK_Lj_WT_2_rhizo	PK	2	Lj	first	SYM
PK_Lj_WT_2_endo	Lotus	WT	Endosphere/Rhizoplane	PK_Lj_WT_2_endo	PK	2	Lj	first	SYM
PK_Lj_WT_2_nod	Lotus	WT	Nodules	PK_Lj_WT_2_nod	PK	2	Lj	first	SYM
PK_Lj_WT_3_rhizo	Lotus	WT	Rhizosphere	PK_Lj_WT_3_rhizo	PK	3	Lj	first	SYM
PK_Lj_WT_3_endo	Lotus	WT	Endosphere/Rhizoplane	PK_Lj_WT_3_endo	PK	3	Lj	first	SYM
PK_Lj_WT_3_nod	Lotus	WT	Nodules	PK_Lj_WT_3_nod	PK	3	Lj	first	SYM
PK_Lj_WT_4_rhizo	Lotus	WT	Rhizosphere	PK_Lj_WT_4_rhizo	PK	4	Lj	first	SYM
PK_Lj_WT_4_endo	Lotus	WT	Endosphere/Rhizoplane	PK_Lj_WT_4_endo	PK	4	Lj	first	SYM
PK_Lj_WT_4_nod	Lotus	WT	Nodules	PK_Lj_WT_4_nod	PK	4	Lj	first	SYM
PK_Lj_WT_5_rhizo	Lotus	WT	Rhizosphere	PK_Lj_WT_5_rhizo	PK	5	Lj	first	SYM
PK_Lj_WT_5_endo	Lotus	WT	Endosphere/Rhizoplane	PK_Lj_WT_5_endo	PK	5	Lj	first	SYM
PK_Lj_WT_5_nod	Lotus	WT	Nodules	PK_Lj_WT_5_nod	PK	5	Lj	first	SYM
PK_Lj_WT_6_rhizo	Lotus	WT	Rhizosphere	PK_Lj_WT_6_rhizo	PK	6	Lj	first	SYM
PK_Lj_WT_6_endo	Lotus	WT	Endosphere/Rhizoplane	PK_Lj_WT_6_endo	PK	6	Lj	first	SYM
PK_Lj_WT_6_nod	Lotus	WT	Nodules	PK_Lj_WT_6_nod	PK	6	Lj	first	SYM
PK_Lj_symrk_1_rhizo	Lotus	symrk	Rhizosphere	PK_Lj_symrk_1_rhizo	PK	1	Lj	first	SYM
PK_Lj_symrk_1_endo	Lotus	symrk	Endosphere/Rhizoplane	PK_Lj_symrk_1_endo	PK	1	Lj	first	SYM
PK_Lj_symrk_2_rhizo	Lotus	symrk	Rhizosphere	PK_Lj_symrk_2_rhizo	PK	2	Lj	first	SYM
PK_Lj_symrk_2_endo	Lotus	symrk	Endosphere/Rhizoplane	PK_Lj_symrk_2_endo	PK	2	Lj	first	SYM
PK_Lj_symrk_3_rhizo	Lotus	symrk	Rhizosphere	PK_Lj_symrk_3_rhizo	PK	3	Lj	first	SYM
PK_Lj_symrk_3_endo	Lotus	symrk	Endosphere/Rhizoplane	PK_Lj_symrk_3_endo	PK	3	Lj	first	SYM
PK_Lj_symrk_4_rhizo	Lotus	symrk	Rhizosphere	PK_Lj_symrk_4_rhizo	PK	4	Lj	first	SYM
PK_Lj_symrk_4_endo	Lotus	symrk	Endosphere/Rhizoplane	PK_Lj_symrk_4_endo	PK	4	Lj	first	SYM
PK_Lj_symrk_5_rhizo	Lotus	symrk	Rhizosphere	PK_Lj_symrk_5_rhizo	PK	5	Lj	first	SYM
PK_Lj_symrk_5_endo	Lotus	symrk	Endosphere/Rhizoplane	PK_Lj_symrk_5_endo	PK	5	Lj	first	SYM
PK_Lj_symrk_6_rhizo	Lotus	symrk	Rhizosphere	PK_Lj_symrk_6_rhizo	PK	6	Lj	first	SYM
PK_Lj_symrk_6_endo	Lotus	symrk	Endosphere/Rhizoplane	PK_Lj_symrk_6_endo	PK	6	Lj	first	SYM
PK_Lj_ccamk_1_rhizo	Lotus	ccamk	Rhizosphere	PK_Lj_ccamk_1_rhizo	PK	1	Lj	first	SYM
PK_Lj_ccamk_1_endo	Lotus	ccamk	Endosphere/Rhizoplane	PK_Lj_ccamk_1_endo	PK	1	Lj	first	SYM
PK_Lj_ccamk_2_rhizo	Lotus	ccamk	Rhizosphere	PK_Lj_ccamk_2_rhizo	PK	2	Lj	first	SYM
PK_Lj_ccamk_2_endo	Lotus	ccamk	Endosphere/Rhizoplane	PK_Lj_ccamk_2_endo	PK	2	Lj	first	SYM
PK_Lj_ccamk_3_rhizo	Lotus	ccamk	Rhizosphere	PK_Lj_ccamk_3_rhizo	PK	3	Lj	first	SYM
PK_Lj_ccamk_4_rhizo	Lotus	ccamk	Rhizosphere	PK_Lj_ccamk_4_rhizo	PK	4	Lj	first	SYM
PK_Lj_ccamk_4_endo	Lotus	ccamk	Endosphere/Rhizoplane	PK_Lj_ccamk_4_endo	PK	4	Lj	first	SYM
PK_Lj_ccamk_5_rhizo	Lotus	ccamk	Rhizosphere	PK_Lj_ccamk_5_rhizo	PK	5	Lj	first	SYM
PK_Lj_ccamk_5_endo	Lotus	ccamk	Endosphere/Rhizoplane	PK_Lj_ccamk_5_endo	PK	5	Lj	first	SYM
PK_Lj_ccamk_6_rhizo	Lotus	ccamk	Rhizosphere	PK_Lj_ccamk_6_rhizo	PK	6	Lj	first	SYM
PK_Lj_ccamk_6_endo	Lotus	ccamk	Endosphere/Rhizoplane	PK_Lj_ccamk_6_endo	PK	6	Lj	first	SYM
PK_Lj_nsp1_1_rhizo	Lotus	nsp1	Rhizosphere	PK_Lj_nsp1_1_rhizo	PK	1	Lj	first	SYM
PK_Lj_nsp1_1_endo	Lotus	nsp1	Endosphere/Rhizoplane	PK_Lj_nsp1_1_endo	PK	1	Lj	first	SYM
PK_Lj_nsp1_2_rhizo	Lotus	nsp1	Rhizosphere	PK_Lj_nsp1_2_rhizo	PK	2	Lj	first	SYM
PK_Lj_nsp1_2_endo	Lotus	nsp1	Endosphere/Rhizoplane	PK_Lj_nsp1_2_endo	PK	2	Lj	first	SYM
PK_Lj_nsp1_3_rhizo	Lotus	nsp1	Rhizosphere	PK_Lj_nsp1_3_rhizo	PK	3	Lj	first	SYM
PK_Lj_nsp1_3_endo	Lotus	nsp1	Endosphere/Rhizoplane	PK_Lj_nsp1_3_endo	PK	3	Lj	first	SYM
PK_Lj_nsp1_4_rhizo	Lotus	nsp1	Rhizosphere	PK_Lj_nsp1_4_rhizo	PK	4	Lj	first	SYM
PK_Lj_nsp1_4_endo	Lotus	nsp1	Endosphere/Rhizoplane	PK_Lj_nsp1_4_endo	PK	4	Lj	first	SYM
PK_Lj_nsp1_5_rhizo	Lotus	nsp1	Rhizosphere	PK_Lj_nsp1_5_rhizo	PK	5	Lj	first	SYM
PK_Lj_nsp1_5_endo	Lotus	nsp1	Endosphere/Rhizoplane	PK_Lj_nsp1_5_endo	PK	5	Lj	first	SYM
PK_Lj_nsp1_6_rhizo	Lotus	nsp1	Rhizosphere	PK_Lj_nsp1_6_rhizo	PK	6	Lj	first	SYM
PK_Lj_nsp1_6_endo	Lotus	nsp1	Endosphere/Rhizoplane	PK_Lj_nsp1_6_endo	PK	6	Lj	first	SYM
PK_Lj_nsp2_1_rhizo	Lotus	nsp2	Rhizosphere	PK_Lj_nsp2_1_rhizo	PK	1	Lj	first	SYM
PK_Lj_nsp2_1_endo	Lotus	nsp2	Endosphere/Rhizoplane	PK_Lj_nsp2_1_endo	PK	1	Lj	first	SYM
PK_Lj_nsp2_2_rhizo	Lotus	nsp2	Rhizosphere	PK_Lj_nsp2_2_rhizo	PK	2	Lj	first	SYM
PK_Lj_nsp2_3_rhizo	Lotus	nsp2	Rhizosphere	PK_Lj_nsp2_3_rhizo	PK	3	Lj	first	SYM
PK_Lj_nsp2_3_endo	Lotus	nsp2	Endosphere/Rhizoplane	PK_Lj_nsp2_3_endo	PK	3	Lj	first	SYM
PK_Lj_nsp2_4_rhizo	Lotus	nsp2	Rhizosphere	PK_Lj_nsp2_4_rhizo	PK	4	Lj	first	SYM
PK_Lj_nsp2_4_endo	Lotus	nsp2	Endosphere/Rhizoplane	PK_Lj_nsp2_4_endo	PK	4	Lj	first	SYM
PK_Lj_nsp2_5_rhizo	Lotus	nsp2	Rhizosphere	PK_Lj_nsp2_5_rhizo	PK	5	Lj	first	SYM
PK_Lj_nsp2_5_endo	Lotus	nsp2	Endosphere/Rhizoplane	PK_Lj_nsp2_5_endo	PK	5	Lj	first	SYM
PK_Lj_nsp2_6_rhizo	Lotus	nsp2	Rhizosphere	PK_Lj_nsp2_6_rhizo	PK	6	Lj	first	SYM
PK_Lj_nsp2_6_endo	Lotus	nsp2	Endosphere/Rhizoplane	PK_Lj_nsp2_6_endo	PK	6	Lj	first	SYM
PK_Lj_unplanted_1	Soil	Soil	Bulk soil	PK_Lj_unplanted_1	PK	1	Lj	first	SYM
PK_Lj_unplanted_2	Soil	Soil	Bulk soil	PK_Lj_unplanted_2	PK	2	Lj	first	SYM
PK_Lj_unplanted_3	Soil	Soil	Bulk soil	PK_Lj_unplanted_3	PK	3	Lj	first	SYM
UF_Lj_WT_1_rhizo	Lotus	WT	Rhizosphere	UF_Lj_WT_1_rhizo	UF	1	Lj	first	SYM
UF_Lj_WT_1_endo	Lotus	WT	Endosphere/Rhizoplane	UF_Lj_WT_1_endo	UF	1	Lj	first	SYM
UF_Lj_WT_1_nod	Lotus	WT	Nodules	UF_Lj_WT_1_nod	UF	1	Lj	first	SYM
UF_Lj_WT_2_rhizo	Lotus	WT	Rhizosphere	UF_Lj_WT_2_rhizo	UF	2	Lj	first	SYM
UF_Lj_WT_2_endo	Lotus	WT	Endosphere/Rhizoplane	UF_Lj_WT_2_endo	UF	2	Lj	first	SYM
UF_Lj_WT_2_nod	Lotus	WT	Nodules	UF_Lj_WT_2_nod	UF	2	Lj	first	SYM
UF_Lj_WT_3_rhizo	Lotus	WT	Rhizosphere	UF_Lj_WT_3_rhizo	UF	3	Lj	first	SYM
UF_Lj_WT_3_endo	Lotus	WT	Endosphere/Rhizoplane	UF_Lj_WT_3_endo	UF	3	Lj	first	SYM
UF_Lj_WT_3_nod	Lotus	WT	Nodules	UF_Lj_WT_3_nod	UF	3	Lj	first	SYM
UF_Lj_WT_4_rhizo	Lotus	WT	Rhizosphere	UF_Lj_WT_4_rhizo	UF	4	Lj	first	SYM
UF_Lj_WT_4_endo	Lotus	WT	Endosphere/Rhizoplane	UF_Lj_WT_4_endo	UF	4	Lj	first	SYM
UF_Lj_WT_4_nod	Lotus	WT	Nodules	UF_Lj_WT_4_nod	UF	4	Lj	first	SYM
UF_Lj_WT_5_rhizo	Lotus	WT	Rhizosphere	UF_Lj_WT_5_rhizo	UF	5	Lj	first	SYM
UF_Lj_WT_5_endo	Lotus	WT	Endosphere/Rhizoplane	UF_Lj_WT_5_endo	UF	5	Lj	first	SYM
UF_Lj_WT_5_nod	Lotus	WT	Nodules	UF_Lj_WT_5_nod	UF	5	Lj	first	SYM
UF_Lj_WT_6_rhizo	Lotus	WT	Rhizosphere	UF_Lj_WT_6_rhizo	UF	6	Lj	first	SYM
UF_Lj_WT_6_endo	Lotus	WT	Endosphere/Rhizoplane	UF_Lj_WT_6_endo	UF	6	Lj	first	SYM
UF_Lj_WT_6_nod	Lotus	WT	Nodules	UF_Lj_WT_6_nod	UF	6	Lj	first	SYM
UF_Lj_symrk_1_rhizo	Lotus	symrk	Rhizosphere	UF_Lj_symrk_1_rhizo	UF	1	Lj	first	SYM
UF_Lj_symrk_1_endo	Lotus	symrk	Endosphere/Rhizoplane	UF_Lj_symrk_1_endo	UF	1	Lj	first	SYM
UF_Lj_symrk_2_rhizo	Lotus	symrk	Rhizosphere	UF_Lj_symrk_2_rhizo	UF	2	Lj	first	SYM
UF_Lj_symrk_2_endo	Lotus	symrk	Endosphere/Rhizoplane	UF_Lj_symrk_2_endo	UF	2	Lj	first	SYM
UF_Lj_symrk_3_rhizo	Lotus	symrk	Rhizosphere	UF_Lj_symrk_3_rhizo	UF	3	Lj	first	SYM
UF_Lj_symrk_3_endo	Lotus	symrk	Endosphere/Rhizoplane	UF_Lj_symrk_3_endo	UF	3	Lj	first	SYM
UF_Lj_symrk_4_rhizo	Lotus	symrk	Rhizosphere	UF_Lj_symrk_4_rhizo	UF	4	Lj	first	SYM
UF_Lj_symrk_4_endo	Lotus	symrk	Endosphere/Rhizoplane	UF_Lj_symrk_4_endo	UF	4	Lj	first	SYM
UF_Lj_symrk_5_rhizo	Lotus	symrk	Rhizosphere	UF_Lj_symrk_5_rhizo	UF	5	Lj	first	SYM
UF_Lj_symrk_5_endo	Lotus	symrk	Endosphere/Rhizoplane	UF_Lj_symrk_5_endo	UF	5	Lj	first	SYM
UF_Lj_symrk_6_rhizo	Lotus	symrk	Rhizosphere	UF_Lj_symrk_6_rhizo	UF	6	Lj	first	SYM
UF_Lj_symrk_6_endo	Lotus	symrk	Endosphere/Rhizoplane	UF_Lj_symrk_6_endo	UF	6	Lj	first	SYM
UF_Lj_ccamk_1_rhizo	Lotus	ccamk	Rhizosphere	UF_Lj_ccamk_1_rhizo	UF	1	Lj	first	SYM
UF_Lj_ccamk_1_endo	Lotus	ccamk	Endosphere/Rhizoplane	UF_Lj_ccamk_1_endo	UF	1	Lj	first	SYM
UF_Lj_ccamk_2_rhizo	Lotus	ccamk	Rhizosphere	UF_Lj_ccamk_2_rhizo	UF	2	Lj	first	SYM
UF_Lj_ccamk_2_endo	Lotus	ccamk	Endosphere/Rhizoplane	UF_Lj_ccamk_2_endo	UF	2	Lj	first	SYM
UF_Lj_ccamk_3_rhizo	Lotus	ccamk	Rhizosphere	UF_Lj_ccamk_3_rhizo	UF	3	Lj	first	SYM
UF_Lj_ccamk_3_endo	Lotus	ccamk	Endosphere/Rhizoplane	UF_Lj_ccamk_3_endo	UF	3	Lj	first	SYM
UF_Lj_ccamk_4_rhizo	Lotus	ccamk	Rhizosphere	UF_Lj_ccamk_4_rhizo	UF	4	Lj	first	SYM
UF_Lj_ccamk_4_endo	Lotus	ccamk	Endosphere/Rhizoplane	UF_Lj_ccamk_4_endo	UF	4	Lj	first	SYM
UF_Lj_ccamk_5_rhizo	Lotus	ccamk	Rhizosphere	UF_Lj_ccamk_5_rhizo	UF	5	Lj	first	SYM
UF_Lj_ccamk_5_endo	Lotus	ccamk	Endosphere/Rhizoplane	UF_Lj_ccamk_5_endo	UF	5	Lj	first	SYM
UF_Lj_ccamk_6_rhizo	Lotus	ccamk	Rhizosphere	UF_Lj_ccamk_6_rhizo	UF	6	Lj	first	SYM
UF_Lj_ccamk_6_endo	Lotus	ccamk	Endosphere/Rhizoplane	UF_Lj_ccamk_6_endo	UF	6	Lj	first	SYM
UF_Lj_nsp1_1_rhizo	Lotus	nsp1	Rhizosphere	UF_Lj_nsp1_1_rhizo	UF	1	Lj	first	SYM
UF_Lj_nsp1_1_endo	Lotus	nsp1	Endosphere/Rhizoplane	UF_Lj_nsp1_1_endo	UF	1	Lj	first	SYM
UF_Lj_nsp1_2_rhizo	Lotus	nsp1	Rhizosphere	UF_Lj_nsp1_2_rhizo	UF	2	Lj	first	SYM
UF_Lj_nsp1_2_endo	Lotus	nsp1	Endosphere/Rhizoplane	UF_Lj_nsp1_2_endo	UF	2	Lj	first	SYM
UF_Lj_nsp1_3_rhizo	Lotus	nsp1	Rhizosphere	UF_Lj_nsp1_3_rhizo	UF	3	Lj	first	SYM
UF_Lj_nsp1_3_endo	Lotus	nsp1	Endosphere/Rhizoplane	UF_Lj_nsp1_3_endo	UF	3	Lj	first	SYM
UF_Lj_nsp1_4_rhizo	Lotus	nsp1	Rhizosphere	UF_Lj_nsp1_4_rhizo	UF	4	Lj	first	SYM
UF_Lj_nsp1_4_endo	Lotus	nsp1	Endosphere/Rhizoplane	UF_Lj_nsp1_4_endo	UF	4	Lj	first	SYM
UF_Lj_nsp1_5_rhizo	Lotus	nsp1	Rhizosphere	UF_Lj_nsp1_5_rhizo	UF	5	Lj	first	SYM
UF_Lj_nsp1_5_endo	Lotus	nsp1	Endosphere/Rhizoplane	UF_Lj_nsp1_5_endo	UF	5	Lj	first	SYM
UF_Lj_nsp1_6_rhizo	Lotus	nsp1	Rhizosphere	UF_Lj_nsp1_6_rhizo	UF	6	Lj	first	SYM
UF_Lj_nsp1_6_endo	Lotus	nsp1	Endosphere/Rhizoplane	UF_Lj_nsp1_6_endo	UF	6	Lj	first	SYM
UF_Lj_nsp2_1_rhizo	Lotus	nsp2	Rhizosphere	UF_Lj_nsp2_1_rhizo	UF	1	Lj	first	SYM
UF_Lj_nsp2_1_endo	Lotus	nsp2	Endosphere/Rhizoplane	UF_Lj_nsp2_1_endo	UF	1	Lj	first	SYM
UF_Lj_nsp2_2_rhizo	Lotus	nsp2	Rhizosphere	UF_Lj_nsp2_2_rhizo	UF	2	Lj	first	SYM
UF_Lj_nsp2_2_endo	Lotus	nsp2	Endosphere/Rhizoplane	UF_Lj_nsp2_2_endo	UF	2	Lj	first	SYM
UF_Lj_nsp2_3_rhizo	Lotus	nsp2	Rhizosphere	UF_Lj_nsp2_3_rhizo	UF	3	Lj	first	SYM
UF_Lj_nsp2_3_endo	Lotus	nsp2	Endosphere/Rhizoplane	UF_Lj_nsp2_3_endo	UF	3	Lj	first	SYM
UF_Lj_nsp2_4_rhizo	Lotus	nsp2	Rhizosphere	UF_Lj_nsp2_4_rhizo	UF	4	Lj	first	SYM
UF_Lj_nsp2_4_endo	Lotus	nsp2	Endosphere/Rhizoplane	UF_Lj_nsp2_4_endo	UF	4	Lj	first	SYM
UF_Lj_nsp2_5_rhizo	Lotus	nsp2	Rhizosphere	UF_Lj_nsp2_5_rhizo	UF	5	Lj	first	SYM
